iter	Passed	Remaining
559	5052	3970
560	5061	3960
561	5070	3951
562	5078	3941
563	5087	3932
564	5095	3923
565	5104	3913
566	5112	3904
567	5121	3895
568	5130	3886
569	5138	3876
570	5147	3867
571	5156	3858
572	5164	3848
573	5173	3839
574	5181	3829
575	5190	3820
576	5198	3811
577	5207	3802
578	5216	3792
579	5225	3783
580	5233	3774
581	5243	3765
582	5252	3756
583	5261	3747
584	5269	3738
585	5279	3729
586	5288	3720
587	5297	3711
588	5306	3702
589	5315	3694
590	5325	3685
591	5333	3676
592	5342	3667
593	5352	3658
594	5361	3649
595	5370	3640
596	5380	3631
597	5389	3623
598	5398	3614
599	5408	3605
600	5417	3596
601	5426	3587
602	5435	3578
603	5444	3569
604	5453	3560
605	5462	3551
606	5471	3542
607	5480	3533
608	5489	3524
609	5497	3515
610	5506	3505
611	5515	3496
612	5523	3487
613	5532	3478
614	5541	3469
615	5549	3459
616	5558	3450
617	5567	3441
618	5576	3432
619	5585	3423
620	5594	3414
621	5603	3405
622	5612	3396
623	5621	3387
624	5630	3378
625	5640	3369
626	5649	3360
627	5658	3351
628	5668	3343
629	5677	3334
630	5686	3325
631	5696	3316
632	5705	3307
633	5714	3298
634	5723	3289
635	5734	3281
636	5743	3273
637	5753	3264
638	5762	3255
639	5771	3246
640	5780	3237
641	5790	3228
642	5799	3219
643	5808	3210
644	5817	3201
645	5826	3193
646	5836	3184
647	5845	3175
648	5854	3166
649	5864	3157
650	5873	3148
651	5882	3139
652	5892	3130
653	5901	3122
654	5910	3113
655	5919	3104
656	5928	3095
657	5938	3086
658	5947	3077
659	5957	3068
660	5966	3059
661	5975	3050
662	5984	3041
663	5993	3032
664	6002	3023
665	6011	3015
666	6021	3006
667	6030	2997
668	6040	2988
669	6049	2979
670	6058	2970
671	6067	2961
672	6077	2952
673	6086	2943
674	6095	2934
675	6104	2925
676	6113	2916
677	6122	2907
678	6131	2898
679	6140	2889
680	6149	2880
681	6159	2871
682	6168	2862
683	6177	2853
684	6186	2844
685	6195	2835
686	6204	2827
687	6214	2818
688	6224	2809
689	6233	2800
690	6242	2791
691	6252	2782
692	6261	2773
693	6270	2764
694	6279	2755
695	6288	2746
696	6297	2737
697	6306	2728
698	6315	2719
699	6324	2710
700	6333	2701
701	6342	2692
702	6352	2683
703	6361	2674
704	6370	2665
705	6378	2656
706	6387	2647
707	6396	2638
708	6404	2628
709	6413	2619
710	6422	2610
711	6431	2601
712	6440	2592
713	6449	2583
714	6458	2574
715	6467	2565
716	6479	2557
717	6489	2548
718	6498	2539
719	6506	2530
720	6515	2521
